file id,CodeGPT,InCoder,UnixCoder,Usage Scenario,Trigger Point,Programming Language
1686,"ME-T2, AE-1","ME-T2, AE-1","ME-S2, ME-S5",Line Completion,,cpp
1687,"ME-T1, ME-S1","ME-S2, ME-T3","UO-3, ME-S1",Partial Line Completion,(,cpp
1688,"ME-T1, ME-T2","ME-T1, ME-T2","ME-T1, ME-T2",Line Edit,",",cpp
1689,"ME-T1, ME-S6","ME-T1, ME-T2",ME-T1,Line Completion,*,cpp
1690,"ME-S3, ME-T2",UO-1,ME-S3,Partial Line Completion,.,cpp
1691,"ME-S2, ME-T1","ME-S2, ME-T1","ME-T2, ME-T4",Line Completion,for,cpp
1692,"ME-T1, ME-S1","UO-3, ME-S1","ME-T1, ME-S1",Partial Line Completion,(,cpp
1693,"ME-S5, NA-1","ME-S5, NA-1","ME-S5, NA-1",NA,/,cpp
1694,ME-T1,"ME-S3, UO-3","ME-T1, ME-T3",Line Edit,(,cpp
1695,"AE-4, NA-1","NA-1, AE-4","AE-4, NA-1",NA,=,cpp
1696,NA-1,NA-1,NA-1,NA,/,cpp
1697,"ME-T1, AE-1","ME-T2, AE-1","ME-T2, AE-1",Line Completion,,cpp
1698,UO-1,UO-1,"ME-T1, ME-S2",Line Completion,+=,cpp
1699,"ME-S2, AE-1","ME-S2, ME-T3","ME-S2, ME-S7",Line Completion,,cpp
1700,NA-1,NA-1,NA-1,NA,.,cpp
1701,NA-2,NA-2,NA-2,Line Edit,(,cpp
1702,UO-1,ME-T3,ME-T3,Line Completion,<<,cpp
1703,"ME-T1, AE-1","ME-T1, AE-1","ME-T1, AE-1",Line Edit,,cpp
1704,ME-T3,"ME-T3, UO-3",ME-T3,Partial Line Completion,(,cpp
1705,"NA-1, AE-1","NA-1, AE-1","NA-1, AE-1",NA,,cpp
1706,NA-1,"ME-S5, NA-1",NA-1,NA,/,cpp
1707,AE-3,AE-3,AE-3,NA,>,cpp
1708,NA-1,NA-1,NA-1,NA,.,cpp
1709,"ME-T1, AE-1","ME-S2, AE-1","ME-S2, AE-1",Line Completion,,cpp
1710,NA-2,NA-2,NA-2,Partial Line Completion,(,cpp
1711,"ME-T1, ME-T2","UO-3, ME-S1","ME-T1, ME-T2",Line Edit,(,cpp
1712,UO-1,"ME-T1, AE-1",UO-1,Line Completion,,cpp
1713,"ME-T1, ME-S1","ME-S2, ME-T3","ME-T3, ME-S1",Line Edit,>,cpp
1714,"ME-T2, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,,cpp
1715,"ME-S3, ME-S1",UO-1,"ME-S3, ME-T1",Partial Line Completion,.,cpp
1716,"ME-S2, ME-T2",UO-1,ME-S2,Partial Line Completion,(,cpp
1717,"ME-T3, ME-S1",ME-T3,"ME-T1, ME-T3",Line Edit,>,cpp
1718,"ME-S5, NA-1","AE-2, NA-1","AE-2, NA-1",NA,/,cpp
1719,"ME-T2, ME-S1","ME-T1, ME-T2",ME-S3,Line Edit,>,cpp
1720,"ME-S2, AE-1","ME-S7, AE-1","ME-S7, AE-1",Line Completion,<,cpp
1721,"ME-T1, AE-1","ME-S2, AE-1","AE-1, ME-T4",Partial Line Completion,,cpp
1722,NA-1,NA-1,NA-1,NA,return,cpp
1723,NA-1,NA-1,NA-1,NA,/,cpp
1724,ME-S3,UO-1,ME-S3,Partial Line Completion,",",cpp
1725,"ME-T1, AE-1","ME-T2, AE-1","ME-T2, AE-1",Partial Line Completion,-,cpp
